;climate-climate;climate-covid;climate-urgency;climate-agency;climate-possibility;climate-health;climate-social;covid-covid;covid-urgency;covid-agency;covid-possibility;covid-health;covid-social;urgency-urgency;urgency-agency;urgency-possibility;urgency-health;urgency-social;agency-agency;agency-possibility;agency-health;agency-social;possibility-possibility;possibility-health;possibility-social;health-health;health-social;social-social
week_1;36,0;0,40816326530612246;26,204081632653057;47,10204081632653;14,122448979591837;0,5714285714285714;0,4897959183673469;0,0;0,0816326530612245;0,326530612244898;0,0816326530612245;0,0816326530612245;0,0;6,448979591836734;16,897959183673468;4,0;0,4897959183673469;0,0816326530612245;13,46938775510204;8,89795918367347;1,7959183673469388;0,326530612244898;0,8979591836734694;0,326530612244898;0,0;0,4897959183673469;0,0;0,0
week_2;48,27711280377221;1,1244105912223432;33,07943416757345;52,52085600290171;12,98512876314835;1,1606819006166122;1,1606819006166122;0,0;0,3264417845484222;0,25389916575988397;0,0;0,0;0,0;6,093579978237215;17,881755531374683;6,746463547334058;0,8342401160681902;0,797968806673921;15,632934348929997;8,741385564018861;1,088139281828074;0,6891548784911136;1,4508523757707652;0,1088139281828074;0,3264417845484222;0,14508523757707653;0,18135654697134565;0,0
week_3;31,546275395033863;0,0;25,733634311512414;50,45146726862303;12,246049661399548;0,33860045146726864;0,1128668171557562;0,0;0,0;0,0;0,0;0,0;0,0;5,981941309255079;19,41309255079007;6,376975169300225;0,1128668171557562;0,1128668171557562;17,776523702031604;9,424379232505643;0,5079006772009029;0,16930022573363432;1,5237020316027088;0,0564334085778781;0,1128668171557562;0,1128668171557562;0,0;0,0
week_4;40,32634032634033;0,4662004662004662;19,696969696969695;47,785547785547784;8,857808857808857;0,6993006993006993;0,9324009324009324;0,0;0,2331002331002331;0,11655011655011654;0,11655011655011654;0,0;0,0;3,9627039627039626;14,102564102564102;5,594405594405594;0,34965034965034963;0,11655011655011654;12,82051282051282;7,3426573426573425;0,2331002331002331;0,34965034965034963;0,6993006993006993;0,0;0,0;0,34965034965034963;0,0;0,0
week_5;32,247899159663866;1,050420168067227;26,57563025210084;40,86134453781513;16,911764705882355;0,10504201680672269;0,5252100840336135;0,0;0,21008403361344538;0,31512605042016806;0,10504201680672269;0,0;0,0;7,352941176470589;15,126050420168067;6,4075630252100835;0,21008403361344538;0,31512605042016806;14,390756302521007;16,281512605042018;0,42016806722689076;0,31512605042016806;1,050420168067227;0,0;0,10504201680672269;0,0;0,0;0,0
week_6;45,62899786780384;0,3731343283582089;32,51599147121535;50,31982942430704;16,098081023454156;0,053304904051172705;0,7995735607675907;0,0;0,10660980810234541;0,15991471215351813;0,0;0,0;0,0;8,208955223880597;17,430703624733475;6,396588486140725;0,053304904051172705;0,4797441364605544;18,123667377398718;9,914712153518124;0,053304904051172705;0,3731343283582089;0,7462686567164178;0,0;0,15991471215351813;0,0;0,0;0,0
week_7;42,389589905362776;1,0646687697160884;29,41640378548896;47,94952681388013;15,457413249211358;0,31545741324921134;0,7097791798107256;0,0;0,07886435331230283;0,07886435331230283;0,0;0,0;0,0;6,230283911671925;18,37539432176656;6,427444794952682;0,07886435331230283;0,27602523659305994;18,257097791798106;9,897476340694006;0,27602523659305994;0,3548895899053628;1,301261829652997;0,11829652996845426;0,0;0,0;0,0;0,03943217665615142
week_8;38,87411347517731;0,3546099290780142;24,46808510638298;48,8031914893617;17,95212765957447;0,26595744680851063;0,5319148936170213;0,0;0,22163120567375888;0,26595744680851063;0,0;0,0;0,0;6,382978723404255;15,957446808510639;7,712765957446808;0,31028368794326244;0,08865248226950355;15,957446808510639;9,929078014184398;0,5319148936170213;0,4875886524822695;1,5957446808510638;0,26595744680851063;0,0;0,0;0,0;0,0
week_9;36,60328435609335;0,5185825410544511;22,12618841832325;51,210025929127056;14,174589455488332;0,432152117545376;1,296456352636128;0,12964563526361278;0,0;0,08643042350907519;0,0;0,0;0,0;5,4019014693172;15,298184961106308;6,093344857389801;0,17286084701815038;0,5185825410544511;16,853932584269664;8,297320656871218;0,12964563526361278;0,9507346585998271;0,8210890233362144;0,043215211754537596;0,12964563526361278;0,08643042350907519;0,043215211754537596;0,043215211754537596
week_10;36,677115987460816;0,5877742946708464;25,352664576802507;47,37460815047022;14,968652037617556;0,3134796238244514;1,0579937304075235;0,11755485893416928;0,1959247648902821;0,0;0,07836990595611285;0,0;0,0;5,916927899686521;17,358934169278996;6,0344827586206895;0,07836990595611285;0,5094043887147335;18,495297805642632;9,87460815047022;0,3918495297805642;1,0579937304075235;1,1363636363636365;0,0;0,11755485893416928;0,0;0,0;0,0
week_11;30,158730158730158;1,2309685779073534;20,31098153547133;43,699384515711046;13,119533527696792;0,3887269193391642;0,4211208292840946;0,0;0,032393909944930355;0,16196954972465177;0,09718172983479105;0,06478781988986071;0,0;4,308390022675737;16,42371234207969;5,863297700032394;0,25915127955944284;0,12957563977972142;18,950437317784257;11,694201490119857;0,25915127955944284;0,1943634596695821;1,3605442176870748;0,032393909944930355;0,0;0,032393909944930355;0,0;0,0
week_12;31,549453628467354;0,5884001120762118;28,07509106192211;50,350238161950124;17,652003362286354;0,4763239002521714;0,336228635472121;0,0;0,05603810591202018;0,2801905295601009;0,11207621182404036;0,0;0,0;5,099467637993836;16,64331745586999;4,511067525917624;0,02801905295601009;0,2521714766040908;17,904174838890448;13,505183524796863;0,14009526478005044;0,1681143177360605;2,4096385542168677;0,1681143177360605;0,08405715886803025;0,0;0,0;0,08405715886803025
