;agency_new;amount_agency_new;climate_new;amount_climate_new;covid_new;amount_covid_new;health_new;amount_health_new;possibility_new;amount_possibility_new;social_new;amount_social_new;urgency_new;amount_urgency_new
week_2;organize_workplace, grassroots, everybodyorganize;3;fracke_gas, ecological, sustainability, energydemocracy, climatejustice, climateactionnow, climateact;7;stay_home, testing, save_life, risk_life;4;medical, public_health, pay_sick, doctor, abortion_access, medicine, illness, reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, untreated, dehydration, healthcareworkinggroup, healthjusrice;17;momentum;1;supply, unemployment, bailout, rent_strike, working_condition, rentstrike, peopleoverprofit, unemployed, student_loan, exploitation, foreclosure, unhoused_neighbor, tenant_protection, wage_theft, unpaid, rentcontrol, decommodify, rentcontrolnow, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;27;unprecedented, unacceptable, million_americans, endanger, outrageous, shameful, suffering, hardship, unimaginable;9
week_3;grassroot, collective_action, democratizecome, everybodyorganize, unleash;5;emission, earth_day, environmental_justice, sustainable, fracke_gas, climatestrike, new_deal, ecological, ecofascism, ecology, unsustainable, climat, ecosoc, decarbonise, greennewd, clima, deforestation, exxonmobil, vegetarian, climateactionnow, fridaysforfuture, climateact, climateelection, climatic, ecoapartheid, gogreenvotere;26;stay_home, save_life, corona, risk_life, vaccine, dontbargainwithourlive, antidote;7;public_health, pay_sick, reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;13;empower, hold_accountable, politicalrevolution;3;unemployment, pay_rent, bailout, freeze, lose_job, minimum_wage, rentstrike, peopleoverprofit, unemployed, foreclosure, rental, low_wage, hungry, unhoused_neighbor, housingisahumanright, nyhomesguarantee, makebillionairespay, bail_reform, unpaid, rentcontrol, residence, manufacturer, unionsforall, unskilled, overtime, debtor, tenantpower, realrentcontrolnow, housingjusticeforall, rentcontro, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;34;protection, unprecedented, million_americans, endanger, badly_need, outrageous, shameful, suffering, scared, necessity, hardship, devastating, humanitarian, socialismorbarbarism, unfair, destructive, misery, unimaginable, heartbreake, horrifying, incompetent;21
week_4;organize_workplace, collective_action, democratizecome, everybodyorganize, unleash;5;green, earth_day, sustainable, fossil, natural_gas, renewable_energy, ecofascism, sustainability, vegan, unsustainable, climat, ecosoc, climatejustice, decarbonise, clima, deforestation, exxonmobil, vegetarian, renewableheatnow, climateactionnow, fridaysforfuture, climateact, climateelection, climatic, ecoapartheid, gogreenvotere;26;stay_home, testing, frontline, stay_safe, save_life, corona, transit_worker, vaccine, dontbargainwithourlive, antidote;10;public_health, pay_sick, medicare, disease, universal_healthcare, insurance_company, abortion_access, medicine, illness, healthca, pregnancy, medicar, nyhealthact, singlepayernow, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice, mentalhealthmatter;20;hold_accountable, politicalrevolution, rehabilitate;3;rent, supply, unemployment, pay_rent, bailout, rent_strike, lose_job, childcare, social_security, eviction_moratorium, paycheck, rentstrike, peopleoverprofit, unemployed, cut_social, gentrification, foreclosure, rental, hungry, unhoused_neighbor, housingisahumanright, makebillionairespay, bail_reform, tuition_free, unpaid, rentcontrol, residence, landlordhorrorstory, cancelstudentdebt, accessibility, rentcontrolnow, manufacturer, unskilled, overtime, unionization, debtor, peoplenotprofit, realrentcontrolnow, economicdemocracy, housingjusticeforall, rentcontro, savemomshouse, solidarityeconomy, economicjustice, homelessmemorialday, homesnothandcuff, livingwage, survivorrightsworkerright, underprivileged, unpropertied;50;unprecedented, unacceptable, terrible, big_ass, countless, badly_need, outrageous, shameful, suffering, scared, hardship, disastrous, devastating, voter_suppression, humanitarian, unfair, destructive, misery, illegitimate, unimaginable, heartbreake, horrifying, abhorrent, incompetent;24
week_5;grassroots, unionize, grassroot, collective_action, democratizecome, everybodyorganize;6;earth_day, sustainable, fracke_gas, oil_gas, climatestrike, new_deal, natural_gas, renewable_energy, ecofascism, climateemergency, decarbonize, vegan, unsustainable, climat, energydemocracy, ecosoc, climatejustice, decarbonise, greennewd, greenpeace, clima, deforestation, vegetarian, renewableheatnow, climateactionnow, fridaysforfuture, climateact, climateelection, climatic, ecoapartheid, gogreenvotere;31;stay_home, save_life, vaccine, epidemic, dontbargainwithourlive, antidote;6;public_health, pay_sick, patient, healthy, disability, disease, illness, medication, medica, healthca, diabetic, medicar, medicaref, nyhealthact, singlepayernow, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice, mentalhealthmatter;21;momentum, strengthen, solidarityforever, transformative, politicalrevolution, rehabilitate;6;unemployment, pay_rent, bailout, rent_strike, eviction_moratorium, housing_human, paycheck, rentstrike, peopleoverprofit, homesguarantee, cut_social, salary, union_busting, rental, low_wage, hungry, unhoused_neighbor, fair_contract, housingisahumanright, nyhomesguarantee, makebillionairespay, tuition_free, workforce, rentcontrol, decommodify, landlordhorrorstory, cancelstudentdebt, accessibility, rentcontrolnow, organizethesouth, unionsforall, unskilled, overtime, unionization, debtor, servicesnotsweep, tenantpower, evictio, peoplenotprofit, realrentcontrolnow, economicdemocracy, housingjusticeforall, nochristmaseviction, rentcontro, savemomshouse, solidarityeconomy, universalrentcontrol, economicjustice, homelessmemorialday, homesnothandcuff, livingwage, stopwagetheft, survivorrightsworkerright, underprivileged, unpropertied;55;unprecedented, million_americans, big_ass, class_warfare, necessity, hardship, misery, fuckin, illegitimate, horrifying, abhorrent, incompetent, exponential, tremendously;14
week_6;occupy, unionize, democratizecome, unstoppable, everybodyorganize, unleash;6;emission, earth_day, fracke_gas, oil_gas, new_deal, renewable_energy, ecological, climateemergency, climatecrisis, environmentalist, vegan, energydemocracy, ecosoc, decarbonise, greennewd, greenpeace, clima, deforestation, exxonmobil, vegetarian, exxonknew, renewableheatnow, climateactionnow, fridaysforfuture, climateact, climateelection, climatic, ecoapartheid, gogreenvotere;29;virus, frontline, save_life, symptom, transit_worker, risk_life, vaccine, dontbargainwithourlive, antidote;9;public_health, pay_sick, pharma, medication, medica, healthca, pregnancy, abortionishealthcare, diabetic, hospitalize, lifesave, medicar, medicaref, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice, mentalhealthmatter, providencepatientsbeforeprofit;21;empower, solidarityforever, hold_accountable, politicalrevolution, righteous, rehabilitate;6;bailout, lose_job, eviction_moratorium, paycheck, rentstrike, live_wage, peopleoverprofit, unemployed, student_loan, cut_social, small_business, union_busting, billionaire_exist, low_wage, wage_theft, decommodify, landlordhorrorstory, cancelstudentdebt, redistribution, accessibility, organizethesouth, manufacturer, unskilled, overtime, unionization, socialsecurity, debtor, endcashbail, servicesnotsweep, tenantpower, evictio, peoplenotprofit, economicdemocracy, housingjusticeforall, nochristmaseviction, rentcontro, savemomshouse, solidarityeconomy, economicjustice, homelessmemorialday, homesnothandcuff, livingwage, stopwagetheft, survivorrightsworkerright, underprivileged, unpropertied;46;terrible, million_americans, big_ass, badly_need, class_warfare, scared, necessity, hardship, disastrous, voter_suppression, destructive, frustrate, illegitimate, unimaginable, heartbreake, horrifying, abhorrent, incompetent, desperation, heartbroken, unapologetic, exponential, tremendously;23
week_7;hunger_strike, collective_action, unstoppable, everybodyorganize, unleash, riseup;6;earth_day, ecofascism, decarbonize, environmentalist, sustainability, energydemocracy, ecosoc, climatejustice, decarbonise, greennewd, greenpeace, deforestation, exxonmobil, vegetarian, exxonknew, environmentaljustice, renewableheatnow, climateactionnow, systemchangenotclimatechange, climateact, climateelection, climatic, ecoapartheid, ecofasci, gogreenvotere;25;virus, save_life, corona, risk_life, vaccine, epidemic, dontbargainwithourlive, antidote;8;pay_sick, healthy, disease, medicine, cut_medicaid, sick_leave, illness, reproductive_right, medication, reproductive_freedom, healthca, chronic, pregnancy, planned, abortionishealthcare, diabetic, hospitalize, abortionondemand, healthjustice, medically, medicaref, singlepayernow, withoutapology, abortionis, exposefakeclinic, healthjusticenow, hospitalization, medicarefo, medicarefora, untreated, dehydration, goboldonhealthcare, healthcareworkinggroup, healthjusrice, mentalhealthmatter, providencepatientsbeforeprofit;36;newyearsrevolution, solidarityforever, transformative, politicalrevolution, deescalation, righteous, rehabilitate, empowerment, opportune;9;unemployment, pay_rent, eviction_moratorium, working_condition, rentstrike, unemployed, economic_crisis, homesguarantee, safety_net, small_business, union_busting, foreclosure, billionaire_exist, low_wage, wage_theft, residence, decommodify, landlordhorrorstory, cancelstudentdebt, redistribution, organizethesouth, unskilled, unionization, socialsecurity, goodcauseeviction, servicesnotsweep, tenantpower, evictio, noeviction, peoplenotprofit, stopthesweep, stopthesweeps, cuomoshousingcrisis, economicdemocracy, housingjusticeforall, nochristmaseviction, rentcontro, savemomshouse, solidarityeconomy, universalrentcontrol, economicjustice, evictthespeculators, homelessmemorialday, homesnothandcuff, livingwage, realrentcontrol, stopwagetheft, survivorrightsworkerright, underprivileged, unpropertied;50;countless, endanger, badly_need, outrageous, necessity, hardship, voter_suppression, humanitarian, socialismorbarbarism, unfair, destructive, frustrate, illegitimate, unimaginable, heartbreake, horrifying, abhorrent, incompetent, desperation, heartbroken, unapologetic, emergenc, exponential, tremendously, exponent;25
week_8;collective_action, democratizecome, everybodyorganize, riseup;4;earth_day, save_planet, fossil, fracke_gas, oil_gas, new_deal, natural_gas, renewable_energy, climateemergency, decarbonize, climatecrisis, environmentalist, ecology, greennew, sustainability, unsustainable, climat, energydemocracy, ecosoc, climatejustice, decarbonise, climatebanner, greennewd, greenpeace, clima, deforestation, exxonmobil, vegetarian, exxonknew, environmentaljustice, renewableheatnow, climateactionnow, fridaysforfuture, greennewdealva, systemchangenotclimatechange, climateact, climateactivist, climateelection, climatic, ecoapartheid, ecofasci, gogreenvotere, greenjobs, sunrisemovement;44;testing, save_life, corona, symptom, transit_worker, risk_life, vaccine, epidemic, dontbargainwithourlive, antidote;10;pay_sick, healthy, disease, universal_healthcare, insurance_company, cut_medicaid, sick_leave, illness, reproductive_freedom, medica, healthca, obamacare, chronic, pregnancy, planned, diabetic, hospitalize, medicar, abortionondemand, medically, nyhealthact, withoutapology, abortionis, exposefakeclinic, hospitalization, medicarefo, medicarefora, newyorkhealthact, untreated, dehydration, disabilityrights, goboldonhealthcare, healthcareworkinggroup, healthjusrice, insurancehorrorstory, mentalhealthmatter, patientright, pharmacology, providencepatientsbeforeprofit, unitedhealth;40;survive, newyearsrevolution, politicalrevolution, empowerment, opportune;5;rent_strike, freeze, affordable_housing, eviction_moratorium, paycheck, peopleoverprofit, unemployed, economic_crisis, houseless, homesguarantee, salary, safety_net, small_business, billionaire_exist, hungry, unhoused_neighbor, housingisahumanright, tuition_free, unpaid, workforce, residence, decommodify, landlordhorrorstory, cancelstudentdebt, rentcontrolnow, organizethesouth, unskilled, underinsure, uninsure, socialsecurity, debtor, endcashbail, goodcauseeviction, poorpeoplescampaign, servicesnotsweep, solutionsnotsweeps, tenantpower, evictio, houselessness, abolishlandlords, affordablehouse, noeviction, peoplenotprofit, realrentcontrolnow, stopthesweep, stopthesweeps, cuomoshousingcrisis, economicdemocracy, homeles, housingjusticeforall, nochristmaseviction, rentcontro, savemomshouse, solidarityeconomy, universalrentcontrol, economicjustice, evictthespeculators, homelessmemorialday, homesnothandcuff, livingwage, minimumwage, realrentcontrol, stopwagetheft, survivorrightsworkerright, tuitionfreecollege, underprivileged, unemploymentrate, unpropertied;68;survival, big_ass, endanger, badly_need, shameful, voter_suppression, humanitarian, socialismorbarbarism, misery, fuckin, illegitimate, unimaginable, heartbreake, abhorrent, incompetent, desperation, heartbroken, unapologetic, emergenc, exponential, tremendously;21
week_9;organize_workplace, collective_action, democratizecome, everybodyorganize, unleash, jointhemovement;6;save_planet, fossil, fracke_gas, climatestrike, new_deal, climateemergency, decarbonize, climatecrisis, environmentalist, ecology, greennew, sustainability, unsustainable, climat, energydemocracy, climatejustice, decarbonise, climatebanner, greennewd, greenpeace, clima, deforestation, exxonmobil, vegetarian, exxonknew, environmentaljustice, renewableheatnow, climateactionnow, fridaysforfuture, greennewdealva, nopipeline, systemchangenotclimatechange, climateact, climateactivist, climateelection, climatic, ecoapartheid, ecofasci, gogreenvotere, greenjobs, sunrisemovement;41;stay_home, reopen, frontline, save_life, corona, symptom, transit_worker, wear_mask, vaccine, epidemic, dontbargainwithourlive, sanitize, antidote;13;public_health, pay_sick, medicare, healthy, uninsured, medicine, cut_medicaid, sick_leave, illness, reproductive_right, medic, passnyhealth, reproductive_freedom, medica, healthca, obamacare, pregnancy, planned, abortionishealthcare, diabetic, hospitalize, lifesave, medicar, abortionondemand, healthjustice, medically, medicaref, nyhealthact, singlepayernow, withoutapology, abortionis, healthjusticenow, hospitalization, medicarefo, medicarefora, newyorkhealthact, untreated, abortionisawomansright, chicagolovesmedicareforall, dehydration, disabilityrights, goboldonhealthcare, healthcareworkinggroup, healthjusrice, insurancehorrorstory, mentalhealthmatter, patientright, pharmacology, providencepatientsbeforeprofit, unitedhealth;50;newyearsrevolution, strengthen, hold_accountable, politicalrevolution, deescalation, empowerment, opportune, changemaker, oportunidad;9;unemployment, bailout, rent_strike, lose_job, eviction_moratorium, rentstrike, inequality, peopleoverprofit, economic_crisis, houseless, homesguarantee, exploitation, safety_net, small_business, foreclosure, rental, billionaire_exist, hungry, fair_contract, nyhomesguarantee, makebillionairespay, tuition_free, workforce, residence, decommodify, landlordhorrorstory, redistribution, manufacturer, unionsforall, unskilled, overtime, underinsure, unionization, socialsecurity, endcashbail, goodcauseeviction, poorpeoplescampaign, solutionsnotsweeps, tenantpower, evictio, houselessness, abolishlandlords, affordablehouse, noeviction, peoplenotprofit, realrentcontrolnow, stopthesweep, stopthesweeps, cuomoshousingcrisis, economicdemocracy, evictthespeculator, homeles, housingjusticeforall, nochristmaseviction, rentcontro, savemomshouse, solidarityeconomy, universalrentcontrol, economicjustice, evictthespeculators, homelessmemorialday, homesnothandcuff, livingwage, minimumwage, realrentcontrol, stopwagetheft, survivorrightsworkerright, tuitionfreecollege, underprivileged, unemploymentrate, unpropertied, wagetransparency;72;survival, million_americans, endanger, badly_need, hardship, disastrous, devastating, voter_suppression, humanitarian, unfair, mortality, misery, fuckin, frustrate, illegitimate, unimaginable, heartbreake, horrifying, abhorrent, incompetent, desperation, heartbroken, heartbreaking, unapologetic, emergenc, exponential, tremendously, exponent;28
week_10;trysocialism, collective_action, democratizecome, everybodyorganize, unleash, riseup, jointhemovement;7;earth_day, save_planet, fossil, fracke_gas, oil_gas, climatestrike, natural_gas, ecofascism, climateemergency, climatecrisis, environmentalist, ecology, greennew, sustainability, vegan, unsustainable, climat, energydemocracy, greenwashe, ecosoc, climatejustice, climatebanner, greenpeace, clima, deforestation, exxonmobil, vegetarian, exxonknew, environmentaljustice, renewableheatnow, climateaction, climateactionnow, ecologically, fridaysforfuture, greennewdealva, nopipeline, systemchangenotclimatechange, climateact, climateactivist, climateelection, climatic, ecoapartheid, ecofasci, gogreenvotere, greenjobs, socialecology, sunrisemovement;47;ppe, virus, reopen, testing, stay_safe, corona, symptom, wear_mask, risk_life, vaccine, epidemic, dontbargainwithourlive, antidote;13;public_health, pay_sick, healthcare_system, uninsured, medicine, cut_medicaid, sick_leave, reproductive_right, medic, passnyhealth, reproductive_freedom, prevention, healthca, chronic, pregnancy, planned, sickness, hospitalize, lifesave, abortionondemand, healthjustice, medically, medicaref, nyhealthact, singlepayernow, withoutapology, abortionis, exposefakeclinic, healthjusticenow, hospitalization, medicarefo, medicarefora, newyorkhealthact, untreated, abortionisawomansright, chicagolovesmedicareforall, dehydration, disabilityrights, goboldonhealthcare, healthcareworkinggroup, healthjusrice, insurancehorrorstory, mentalhealthmatter, patientright, pharmacology, providencepatientsbeforeprofit, unitedhealth;47;survive, newyearsrevolution, deescalation, righteous, rehabilitate, opportune, changemaker, oportunidad;8;unemployment, bailout, employer, rent_strike, eviction_moratorium, moratorium_eviction, rentstrike, peopleoverprofit, unemployed, houseless, cut_social, small_business, union_busting, foreclosure, hungry, tenant_protection, nursing_home, slumlord, residence, decommodify, landlordhorrorstory, accessibility, rentcontrolnow, organizethesouth, manufacturer, unskilled, overtime, underinsure, unionization, socialsecurity, endcashbail, goodcauseeviction, poorpeoplescampaign, servicesnotsweep, solutionsnotsweeps, understaffe, evictio, houselessness, abolishlandlords, noeviction, peoplenotprofit, realrentcontrolnow, stopthesweep, stopthesweeps, cuomoshousingcrisis, economicdemocracy, endwagetheft, evictthespeculator, homeles, housingjusticeforall, nochristmaseviction, realrentcontr, rentcontro, savemomshouse, solidarityeconomy, universalrentcontrol, economicjustice, evictng, evictthespeculators, homelessmemorialday, homesnothandcuff, livingwage, minimumwage, realrentcontrol, stopwagetheft, survivorrightsworkerright, tuitionfreecollege, underprivileged, unemploymentrate, unpropertied, wagetransparency;71;terrible, million_americans, badly_need, class_warfare, suffering, necessity, hardship, disastrous, voter_suppression, humanitarian, unfair, mortality, misery, illegitimate, heartbreake, horrifying, abhorrent, desperation, heartbroken, unapologetic, emergenc, exponential, tremendously, exponent;24
week_11;unionize, hunger_strike, collective_action, everybodyorganize, unleash, riseup, jointhemovement;7;earth_day, save_planet, fracke_gas, oil_gas, climatestrike, renewable_energy, ecological, ecofascism, climateemergency, decarbonize, climatecrisis, ecology, greennew, sustainability, vegan, unsustainable, energydemocracy, greenwashe, ecosoc, ecosystem, climatejustice, decarbonise, climatebanner, greennewd, greenpeace, clima, deforestation, exxonmobil, vegetarian, exxonknew, environmentaljustice, renewableheatnow, climateaction, climateactionnow, ecologically, fridaysforfuture, greennewdealva, nopipeline, systemchangenotclimatechange, climateact, climateactivist, climateelection, climatic, ecoapartheid, ecofasci, gettheleadoutcoalition, gogreenvotere, greenjobs, orclimateaction, socialecology, sunrisemovement;51;coronavirus, ppe, virus, stay_home, reopen, testing, frontline, stay_safe, outbreak, symptom, transit_worker, wear_mask, risk_life, vaccine, dontbargainwithourlive, immune, sanitize, antidote;18;public_health, pay_sick, disease, uninsured, abortion_access, cut_medicaid, mental_health, illness, pharma, reproductive_right, medication, medic, passnyhealth, reproductive_freedom, medica, healthca, obamacare, chronic, pregnancy, planned, sickness, abortionishealthcare, diabetic, hospitalize, lifesave, medicar, abortionondemand, healthjustice, medically, medicaref, nyhealthact, singlepayernow, withoutapology, abortionis, fundabortionbuildpower, peteshealthtax, exposefakeclinic, healthjusticenow, hospitalization, medicarefo, medicarefora, newyorkhealthact, untreated, abortionisawomansright, blackhealthcoalitionofwi, chicagolovesmedicareforall, dehydration, disabilityrights, goboldonhealthcare, healthcareworkinggroup, healthjusrice, insurancehorrorstory, mentalhealthmatter, patientright, pharmacology, providencepatientsbeforeprofit, unitedhealth;57;survive, newyearsrevolution, hold_accountable, deescalation, righteous, empowerment, opportune, changemaker, oportunidad;9;unemployment, rent_strike, stimulus, eviction_moratorium, moratorium_eviction, paycheck, rentstrike, unemployed, economic_crisis, cut_social, salary, foreclosure, tenant_protection, housingisahumanright, tuition_free, workforce, nursing_home, rentcontrol, residence, landlordhorrorstory, rentcontrolnow, manufacturer, unskilled, overtime, underinsure, uninsure, unionization, socialsecurity, debtor, endcashbail, goodcauseeviction, poorpeoplescampaign, servicesnotsweep, tenantpower, evictio, houselessness, abolishlandlords, affordablehouse, blacklivesmatteratschool, noeviction, peoplenotprofit, realrentcontrolnow, stopthesweep, stopthesweeps, cuomoshousingcrisis, economicdemocracy, endwagetheft, evictthespeculator, homeles, housingjusticeforall, nochristmaseviction, realrentcontr, rentcontro, savemomshouse, solidarityeconomy, universalrentcontrol, economicjustice, evictng, evictthespeculators, feedthepoor, homelessmemorialday, homesforallmd, homesnothandcuff, livingwage, minimumwage, nocontractnopeace, realrentcontrol, reclaimrentcontrol, stopwagetheft, survivorrightsworkerright, tuitionfreecollege, underprivileged, unemploymentrate, unpropertied, wagetransparency;75;terrible, million_americans, badly_need, class_warfare, suffering, scared, desperate, hardship, devastating, voter_suppression, humanitarian, socialismorbarbarism, mortality, misery, frustrate, illegitimate, heartbreake, horrifying, abhorrent, incompetent, desperation, heartbroken, heartbreaking, unapologetic, unjustly, emergenc, exponential, tremendously, exponent, unspeakable;30
